INTEGRATIVE PRECISION ONCOLOGY CLINICS - CRISPRO OUTREACH DATABASE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Priority,Clinic Name,Medical Director,Location,Phone,Email,Website,Specialization,CrisPRO Fit,Notes,Outreach Status,Contact Date,Follow-up Date,Response Received,Partnership Level,Next Action
Tier 1A,Cancer Center for Healing,"Dr. Leigh Erin Connealy, MD","6 Hughes, Suite 130, Irvine, CA 92618",(949) 680-1880,info@cancercenterforhealing.com,cancercenterforhealing.com,"Integrative oncology, RGCC testing, largest integrative clinic in NA (30k sq ft, 65k+ patients)",★★★★★, PR: connealypr@gmail.com,Pending,,,,,
Tier 1A,Hope4Cancer Treatment Centers,"Dr. Antonio Jimenez, MD, ND","Tijuana & Cancun (Mexico), Bangkok (Thailand), Barranquilla (Colombia)",(888) 544-5993,info@hope4cancer.com,hope4cancer.com,"Integrative oncology, 7 Key Principles, photodynamic therapy, immunotherapies",★★★★☆,"Multi-country locations, 25+ years experience, direct email",Pending,,,,,
Tier 1A,An Oasis of Healing,"Dr. Thomas Lodi, MD(H)","210 N Center St, Suite 201, Mesa, AZ 85201",(480) 834-5414,donoharm@pol.net,anoasisofhealing.com,"Breast/ovarian cancer focus, metabolic protocols, raw plant-based nutrition",★★★★☆,"Direct email, hormone-driven cancers specialist",Pending,,,,,
Tier 1B,Brio-Medical Cancer Clinic,"Dr. Walter Kim, MD | CEO: Jason DeMartino","11000 N Scottsdale Rd, Suite 115, Scottsdale, AZ 85254",(866) 379-8381,info@brio-medical.com | CEO: 333992@email4pr.com,brio-medical.com,"Holistic cancer therapies, non-toxic treatments, all stages/types",★★★★★,"CEO: Jason De Martino, President: Rusty Roberts, phone contact only",Pending,,,,,
Tier 1B,Envita Medical Centers,Leadership team,"8759 E Bell Rd Bldg G, Scottsdale, AZ 85260",(866) 830-4576,info@envita.com,envita.com,"Complex/late-stage cancers, genomic medicine, immunotherapy combinations",★★★★★,"Licensed medical facility, genomic testing focus",Pending,,,,,
Tier 1B,Issels Immuno-Oncology,"Dr. Christian N. Issels, ND / Dr. Grant P. Williams, MD","San Diego, CA (primary); Mexico (cellular therapy)",(805) 500-8943,internationalimmunotherapy@gmail.com,issels.com,"Non-toxic immunotherapy, dendritic/NK cell therapies",★★★★☆,"Direct email, comprehensive immunotherapy program",Pending,,,,,
Tier 2,Dayspring Cancer Clinic,"Dr. Andrew Dickens, NMD","2401 N Hayden Rd, Ste 114, Scottsdale, AZ 85257",(480) 699-7400,Partial email (RocketReach),dayspringcancerclinic.com,"4-week outpatient program, genetic testing specialist (Dr. Michael Kessler, DC)",★★★★☆,"Dr. Dean R. Silver (Medical Advisory Board), research-based protocols",Pending,,,,,
Tier 2,Immunity Therapy Center,"Dr. Carlos Bautista, MD (Founder)","Tijuana, Mexico",Contact form only,info@immunitytherapycenter.com,"Stem cell therapies, natural cancer treatments, 25+ years experience",★★★★☆,"Treating physicians: Dr. David Alvarez, Dr. Pablo Orozco, Dr. Adolfo Carrillo",Pending,,,,,,
Tier 2,Oasis of Hope Hospital,"Dr. Francisco Contreras, MD","Tijuana, Mexico",(619) 690-8450,followup@oasisofhope.com,oasisofhope.com,"Alternative cancer treatment, 100k+ patients since 1963, integrative protocols",★★★★☆,"Follow-up coordinator: Mario Jacobo, established facility",Pending,,,,,
Tier 3,New Hope Unlimited,"Dr. Fredda Branyon (Owner), Dr. Jose Pacheco, MD (Medical Director)","San Luis Rio Colorado, Mexico (Tucson, AZ office)",(480) 757-6573,Contact via form at newhopeunlimited.com,newhopeunlimited.com,"Stage 3/4 cancers (lung, liver, melanoma), residential 7-day program",★★★★☆,"Chief Lab: Jose Luis Becerra, residential care model",Pending,,,,,
